"","x"
"23106007092:shop.m2",-0.240458148137325
"23106007093:shop.m2",2.44528665795518
"23106007094:shop.m2",4.19582601477009
"23106019091:shop.m2",0.274883942297787
"23106019092:shop.m2",-6.19642005310218
"23106019093:shop.m2",3.07728619194458
"23106019094:shop.m2",-2.37488530219914
"23106019095:shop.m2",4.03581010303019
"23106024091:shop.m2",-1.82703511879622
"23106034091:shop.m2",8.05334970544545
"23106034092:shop.m2",-4.4357435702776
"23106039091:shop.m2",-1.94673867332441
"23106039092:shop.m2",-1.23236364854523
"23106039093:shop.m2",-3.49035194432515
"23106056091:shop.m2",4.65171015850682
"23106056092:shop.m2",-12.875878753814
"23106056093:shop.m2",-7.29117204782478
"23102007092:night_amuse.m2",127.174710424451
"23102007093:night_amuse.m2",50.600133898939
"23102059091:night_amuse.m2",321.775199911676
"23102059092:night_amuse.m2",233.068651897203
"231020650:night_amuse.m2",232.978970229964
"231020800:night_amuse.m2",238.579911903507
"23103118093:night_amuse.m2",261.570340346891
"231040080:night_amuse.m2",218.264986072179
"23104086091:night_amuse.m2",215.151665895562
"23104136091:night_amuse.m2",135.578839192534
"23104136092:night_amuse.m2",233.696559788906
"23104136093:night_amuse.m2",240.953326733507
"231050140:night_amuse.m2",306.24981574609
"23105024001:night_amuse.m2",307.504424088265
"23105026091:night_amuse.m2",266.340865356482
"23105026092:night_amuse.m2",199.899784764559
"23105041001:night_amuse.m2",175.9463646665
"23105056091:night_amuse.m2",185.178324496017
"23105056093:night_amuse.m2",308.125398418097
"231050670:night_amuse.m2",274.397525425478
"231050690:night_amuse.m2",551.886440441653
"23105093091:night_amuse.m2",220.09380584485
"23105119094:night_amuse.m2",196.950150221548
"23105119095:night_amuse.m2",151.24458962561
"23105124091:night_amuse.m2",256.467187298632
"23105124092:night_amuse.m2",253.075007497557
"23105124093:night_amuse.m2",381.039779009742
"23105124094:night_amuse.m2",97.1476215528308
"23106007091:night_amuse.m2",328.727374824645
"23106007092:night_amuse.m2",271.726735640762
"23106007093:night_amuse.m2",230.639967046892
"23106007094:night_amuse.m2",250.403636784532
"23106019091:night_amuse.m2",301.659087208655
"23106019092:night_amuse.m2",225.29399541279
"23106019093:night_amuse.m2",220.119401770043
"23106019094:night_amuse.m2",272.68274637165
"23106019095:night_amuse.m2",421.09923934531
"23106024091:night_amuse.m2",231.347861256327
